Benchmark             ,    Score,    Error, Units
ExtraLarge.scalafmt   , 1423.140,± 103.360, ms/op
ExtraLarge.scalariform,  219.820,±  14.450, ms/op
hline,Ratio           ,  6.50  ,,
,,,
Large.scalafmt        ,  355.819,± 17.385 , ms/op
Large.scalariform     ,   39.324,±   3.395, ms/op
hline,Ratio           ,  9.05  ,,
,,,
Medium.scalafmt       ,   79.616,±   2.013, ms/op
Medium.scalariform    ,   15.934,±   0.441, ms/op
hline,Ratio           ,  5.00  ,,
,,,
Small.scalafmt        ,    6.968,±   0.104, ms/op
Small.scalariform     ,    1.176,±   0.025, ms/op
hline,Ratio           ,  5.93  ,,
